TimeStamp,Longitude,Latitude
" 00:00:10,000",73.004206539482,19.15411413783556
" 00:00:10,100",73.00417139102675,19.15398713486066
" 00:00:10,200",73.00415722991562,19.15396035168237
" 00:00:10,300",73.00412860915154,19.1538929883493
" 00:00:10,400",73.00410001944293,19.15385250890726
" 00:00:10,500",73.0040785082781,19.15379858840262
" 00:00:10,600",73.00402848277153,19.15371771296587
" 00:00:10,700",73.00399268154307,19.15363018429631
" 00:00:10,800",73.00387857129513,19.15346866249343
" 00:00:10,900",73.00386424878951,19.15342161633838
" 00:00:11,000",73.00382142266183,19.15332755061154
" 00:00:11,100",73.00362940048501,19.15288519511436
" 00:00:11,200",73.00361517516627,19.1528316414918
" 00:00:11,300",73.00361515026449,19.15280487242301
" 00:00:11,400",73.00360803882757,19.15277810185915
" 00:00:11,500",73.00359382021004,19.15273125776013
" 00:00:11,600",73.00358667618009,19.15270448057447
" 00:00:11,700",73.00357244437444,19.15267101889836
" 00:00:11,800",73.00355818275166,19.15262418505718
" 00:00:11,900",73.00355813015457,19.15259743227853
" 00:00:12,000",73.00355105991611,19.15257069580224
" 00:00:12,100",73.00355105984538,19.15253727354014
" 00:00:12,200",73.00355105973519,19.15251053566632
" 00:00:12,300",73.00352984801323,19.15245706038395
" 00:00:12,400",73.00352984775381,19.15240358297055
" 00:00:12,500",73.00352984772421,19.15237015969944
" 00:00:12,600",73.00352277680219,19.15234342008333
" 00:00:12,700",73.00352277678474,19.15231668091562
" 00:00:12,800",73.00352277657139,19.15226320335527
" 00:00:12,900",73.00352277643658,19.15222309501178
" 00:00:13,000",73.00352277623703,19.15219635606842
" 00:00:13,100",73.003522776238,19.15214956300781
" 00:00:13,200",73.00352277594513,19.15210945447706
" 00:00:13,300",73.00352277595266,19.1520760310001
" 00:00:13,400",73.00352277584324,19.15204929194449
" 00:00:13,500",73.00352277562949,19.15201586841521
" 00:00:13,600",73.00353691710373,19.15196240084555
" 00:00:13,700",73.00354398749899,19.15194903692882
" 00:00:13,800",73.00356519764942,19.15190226185968
" 00:00:13,900",73.00357226741508,19.15189558327248
" 00:00:14,000",73.00358640674654,19.15186885802865
" 00:00:14,100",73.00360054552753,19.15182876643188
" 00:00:14,200",73.00367123064356,19.15174863012053
" 00:00:14,300",73.00369243339051,19.15174196861732
" 00:00:14,400",73.0037207018661,19.15174199759587
" 00:00:14,500",73.00377016577971,19.15172868379123
" 00:00:14,600",73.0038266877215,19.15171537935
" 00:00:14,700",73.00387613669901,19.15170875042047
" 00:00:14,800",73.00391851593732,19.1517087957131
" 00:00:14,900",73.00395382803289,19.15170883387764
" 00:00:15,000",73.00401032013443,19.15169553437751
" 00:00:15,100",73.00410915880562,19.15168896297335
" 00:00:15,200",73.00413739314382,19.15168231548071
" 00:00:15,300",73.00418654618487,19.15168253110204
" 00:00:15,400",73.00421456892696,19.15167601179161
" 00:00:15,500",73.00428457555854,19.15165638900853
" 00:00:15,600",73.00431255862345,19.15165655061348
" 00:00:15,700",73.00434752164527,19.15165675217239
" 00:00:15,800",73.0043684905302,19.1516568734327
" 00:00:15,900",73.00441041018219,19.15165711530607
" 00:00:16,000",73.00450812344138,19.1516576791071
" 00:00:16,100",73.00453601621879,19.15165784031166
" 00:00:16,200",73.00484203064553,19.15174602113504
" 00:00:16,300",73.0062431522348,19.15226303678499
" 00:00:16,400",73.00725998470065,19.15270159679901
